sex,race,age,reincarcerated,state
Male,White,68.8,FALSE,Iowa
Male,White,48.5,FALSE,Iowa
Male,White,57.1,FALSE,Iowa
Male,White,37.4,TRUE,Iowa
Male,White,35,FALSE,Iowa
Male,White,18.6,FALSE,Iowa
Male,White,19.3,FALSE,Iowa
Male,White,43.7,FALSE,Iowa
Male,White,22.3,FALSE,Iowa
Male,White,26.1,FALSE,Iowa
Male,White,38.9,FALSE,Iowa
Female,White,25.7,FALSE,Iowa
Male,White,35,TRUE,Iowa
Male,Black,22.3,FALSE,Iowa
Male,White,23.1,FALSE,Iowa
Female,Asian or Pacific Islander,33.8,FALSE,Iowa
Male,White,38.9,FALSE,Iowa
Female,White,30.4,FALSE,Iowa
Female,White,45.5,FALSE,Iowa
Male,Black,34.5,FALSE,Iowa
Male,White,31.9,TRUE,Iowa
Female,White,33.4,FALSE,Iowa
Female,White,42.8,TRUE,Iowa
Male,White,24.3,FALSE,Iowa
Male,White,39.2,FALSE,Iowa
Male,White,18.4,FALSE,Iowa
Male,White,19.3,FALSE,Iowa
Male,White,29.1,FALSE,Iowa
Female,White,26,FALSE,Iowa
Male,White,30.6,FALSE,Iowa
Female,White,35.6,FALSE,Iowa
Male,White,31.2,FALSE,Iowa
Male,White,25.7,FALSE,Iowa
Female,Black,19.4,FALSE,Iowa
Male,Black,30,FALSE,Iowa
Female,White,25.4,FALSE,Iowa
Male,White,25,FALSE,Iowa
Male,White,28.2,FALSE,Iowa
Male,White,24.7,FALSE,Iowa
Male,White,18.4,FALSE,Iowa
Male,White,22.8,TRUE,Iowa
Male,White,18.2,FALSE,Iowa
Male,Hispanic,24.1,FALSE,Iowa
Female,White,40.6,FALSE,Iowa
Male,White,19,FALSE,Iowa
Male,White,23.8,FALSE,Iowa
Male,White,28.3,FALSE,Iowa
Male,White,33.2,TRUE,Iowa
Female,White,22.3,FALSE,Iowa
Male,Black,22.4,FALSE,Iowa
Male,White,24,FALSE,Iowa
Female,White,39.5,FALSE,Iowa
Female,White,38.8,FALSE,Iowa
Male,White,19.8,FALSE,Iowa
Male,White,19.8,FALSE,Iowa
Male,White,20.8,FALSE,Iowa
Male,White,53.4,TRUE,Iowa
Male,White,56.9,FALSE,Iowa
Male,White,54.2,FALSE,Iowa
Male,White,52.7,FALSE,Iowa
Male,White,54.4,FALSE,Iowa
Male,White,48.4,FALSE,Iowa
Male,White,45.9,TRUE,Iowa
Male,White,41.2,FALSE,Iowa
Male,Black,42.7,TRUE,Iowa
Male,Black,39.9,FALSE,Iowa
Male,White,34.8,TRUE,Iowa
Male,White,36.9,FALSE,Iowa
Female,White,21.1,FALSE,Iowa
Male,White,25.4,FALSE,Iowa
Female,Black,29.9,FALSE,Iowa
Male,White,32.3,FALSE,Iowa
Female,White,28.8,FALSE,Iowa
Male,White,20.8,FALSE,Iowa
Male,White,26,FALSE,Iowa
Male,White,55.3,FALSE,Iowa
Male,White,18.5,FALSE,Iowa
Male,Black,35,FALSE,Iowa
Male,White,34.9,FALSE,Iowa
Male,White,26.5,FALSE,Iowa
Male,White,24.6,FALSE,Iowa
Male,Black,22.2,FALSE,Iowa
Male,Asian or Pacific Islander,26.8,FALSE,Iowa
Female,White,23.8,FALSE,Iowa
Female,White,27.2,FALSE,Iowa
Female,White,45.9,FALSE,Iowa
Male,Black,23.5,FALSE,Iowa
Male,Black,26,FALSE,Iowa
Male,White,32.7,FALSE,Iowa
Female,White,19.6,FALSE,Iowa
Male,Black,25,FALSE,Iowa
Female,White,31,FALSE,Iowa
Female,White,27.8,FALSE,Iowa
